图书名,价格,出版年,国家,作者,出版社,评分,评论数,主题评论
遥远的向日葵地,38.0,2017,中国,李娟,花城出版社,9.1,33280,无
鹿鼎记,108.0,2008,中国,金庸,广州出版社 花城出版社,8.9,55893,武侠的解构，流氓的狂欢
斯通纳 Stoner,49.0,2016,美, 约翰·威廉斯,上海人民出版社,8.8,64667,即使不能拥有完美的生活，所幸追求过完整的自我
茶馆,9.8,2002,中国,老舍,人民文学出版社,9.2,33752,清末、民初、抗战胜利以后三个历史时期的北京生活风貌
克莱因壶 クラインの壷,48.0,2019,日, 冈岛二人,化学工业出版社,8.9,67277,无
一间只属于自己的房间 A Room of One's Own,45.0,2019,英, 弗吉尼亚·伍尔夫,天津人民出版社,9.2,27058,无
陆犯焉识,35.0,2011,中国,严歌苓,作家出版社,8.9,57663,翻手为苍凉，覆手为繁华
边城,12.0,2002,中国,沈从文,北岳文艺出版社,8.7,230489,一切充满了善，然而到处是不凑巧
人间草木,20.0,2005,中国,汪曾祺,江苏文艺出版社,9.2,32469,我就是要这样香，香得痛痛快快
梦里花落知多少,28.0,2007,中国,三毛,北京十月文艺出版社,8.8,97936,哀而不伤
十万个为什么,30.0,1962,中国,少年儿童出版社,少年儿童出版社,9.2,19880,无
额尔古纳河右岸,32.0,2019,中国,迟子建,人民文学出版社,9.1,45125,无
西线无战事 Im Westen nichts Neues,49,2021,德, 埃里希·玛丽亚·雷马克,上海文艺出版社,9.4,20192,无
时间简史 : 插图本 A Brief History of Time,45.0,2010,英, 史蒂芬·霍金,湖南科学技术出版社,8.9,62528,探索时间和空间的核心秘密
筚路维艰 : 中国社会主义路径的五次选择,45.0,2014,中国,萧冬连,社会科学文献出版社,9.5,15184,无
金色梦乡 ゴールデンスランバー,35.0,2010,日, 伊坂幸太郎,译林出版社,9.0,30673,伊坂幸太郎代表作
王尔德童话 The tales of Oscar Wilde,6.0,2003,英, 王尔德,译林出版社,9.1,24083,一颗纯美纯善、永难泯灭的童心
面纱 The Painted Veil,39.8,2016,英, 威廉·萨默塞特·毛姆,江西人民出版社,9.0,39686,无
小径分岔的花园 El jardín de senderos que se bifurcan,23.0,2015,阿根廷, 豪·路·博尔赫斯,上海译文出版社,8.9,46840,一个谜语，谜底正是时间
这些人，那些事,28.0,2011,中国,吴念真,译林出版社,8.8,67382,平淡叙述下的惊心动魄
13 67 : 陳浩基作品2,350,2014,中国,陳浩基,皇冠文化出版有限公司,9.1,21824,无
昨日的世界 : 一个欧洲人的回忆 Die Welt von Gestern: Erinnerungen eines Europäers,32.0,2004,奥, 斯蒂芬·茨威格,广西师范大学出版社,9.3,14693,一个高贵而残破的昨日镜像
流俗地,55.0,2021,马来西亚,黎紫书,北京十月文艺出版社,9.2,20101,无
平面国 : 多维空间传奇往事 Flatland: A Romance of Many Dimensions,39.8,2020,英, 埃德温·A.艾勃特,上海文化出版社,9.2,20926,无
绿毛水怪,30.0,2009,中国,王小波,时代文艺出版社,9.1,25145,我们好象在池塘的水底，从一个月亮走向另一个月亮
2001：太空漫游 : 《太空漫游四部曲》第1部 2001: A Space Odyssey,62.0,2019,英, 阿瑟·克拉克,上海文艺出版社,9.3,22117,无
南京大屠杀 : 第二次世界大战中被遗忘的大浩劫,49.0,2015,美,张纯如(Iris Chang),中信出版社,9.7,18378,无
你当像鸟飞往你的山 Educated: A Memoir,59.0,2019,中国,塔拉·韦斯特弗,南海出版公司,8.7,189193,我来自一个极少有人能想象的家庭，教育给了我新世界
我的天才女友 : 那不勒斯四部曲1 L'amica geniale,42.0,2017,意, 埃莱娜·费兰特,人民文学出版社,8.7,114673,“那不勒斯四部曲”第一部，两个女人，50年的友谊和战争
长日将尽 The Remains of the Day,48,2018,英, 石黑一雄,上海译文出版社,8.9,37127,无
故事 : 材质·结构·风格和银幕剧作的原理 Story,68.0,2014,美, 罗伯特·麦基,天津人民出版社,9.2,19491,材质、结构、风格和银幕剧作的原理
经济学原理（上下）,88.0,2003,美, 曼昆,机械工业出版社,9.1,22279,经济学家们的世界观
一句顶一万句,29.8,2009,中国,刘震云,长江文艺出版社,8.8,83159,一句胜过千年
海的女儿,0.43,1978,中国,安徒生,上海译文出版社,9.1,24375,无
國史大綱（上下）,76.0,2013,中国,錢穆,商务印书馆,9.4,16367,钱穆中国通史
阿勒泰的角落,25.0,2010,中国,李娟,万卷出版公司,9.1,21465,白雪和阳光，青草和白桦林
强风吹拂 風が強く吹いている,39.0,2015,中国,三浦紫苑,广西师范大学出版社,9.0,27797,明明这么痛苦，这么难过，为什么就是不能放弃跑步？
鹿川有许多粪 녹천에는 똥이 많다,58.0,2021,中国,李沧东,武汉大学出版社,8.9,33582,无
地下室手记 Записки из подполья,39.8,2020,俄罗斯, 陀思妥耶夫斯基,浙江文艺出版社,9.3,23966,无
